id;view;wing;side;A_wing
EL72487;D;Post;g;864507.0
EL43199;D;Ant;g;863566.0
EL72585;D;Ant;g;863148.0
ACC0027;D;Post;g;862358.0
EL43176;V;Ant;g;861702.0
EL43197;V;Ant;g;861329.0
EL75714;D;Ant;g;861098.0
ACC0073;D;Post;d;860913.5
EL75693;D;Ant;d;860227.5
EL72584;V;Ant;d;860211.5
EL72596;D;Post;g;860188.5
EL72681;V;Ant;d;859959.0
EL75530;D;Post;g;857702.0
ACC0073;V;Post;d;857642.5
ACC0027;V;Post;g;856847.0
EL72683;V;Post;g;856693.0
ACC0047;V;Ant;g;856617.5
EL72615;V;Post;d;856531.5
EL72596;V;Post;g;856327.5
EL72485;V;Ant;d;856169.0
EL72433;V;Post;d;855745.0
EL72615;D;Post;d;855362.5
EL72640;D;Ant;g;855337.5
EL72564;V;Ant;g;855271.0
EL43216;V;Ant;d;854747.5
EL72433;D;Post;d;854071.0
EL75686;V;Post;g;853965.5
EL72683;D;Post;g;853577.5
EL72417;V;Ant;d;853404.5
EL43211;D;Ant;d;853309.5
EL75522;D;Ant;d;852802.0
EL72562;D;Ant;g;852666.0
EL72492;D;Ant;d;852460.0
EL75596;V;Ant;d;851919.5
EL72656;D;Ant;g;851412.5
EL43218;V;Post;g;850728.0
ACC0064;D;Post;g;850296.5
EL72737;D;Ant;g;849879.0
ACC0026;D;Post;d;848935.0
EL75686;D;Post;g;848655.5
EL72592;V;Ant;d;848584.5
ACC0026;V;Post;d;848549.0
EL72658;D;Ant;g;848304.0
EL43175;V;Ant;d;848009.5
EL72519;V;Ant;g;847881.0
ACC0063;D;Post;g;847110.5
ACC0063;V;Post;g;847100.5
EL75512;V;Ant;g;847028.0
EL72447;D;Ant;d;846435.0
EL72595;V;Ant;d;846297.5
EL72676;V;Post;d;846198.5
EL72639;D;Ant;g;846125.0
ACC0043;D;Ant;g;845807.0
EL75685;D;Post;d;845793.5
EL75510;D;Ant;d;844139.0
EL72532;D;Ant;d;844053.5
ACC0013;V;Ant;g;843902.0
ACC0064;V;Post;g;843730.0
EL75709;V;Ant;d;842997.0
EL72706;V;Ant;g;842308.5
EL75511;V;Ant;g;841930.0
EL75505;V;Ant;d;840838.5
EL43207;V;Ant;d;840744.0
ACC0045;D;Post;d;840472.0
ACC0041;D;Post;g;840446.5
EL72657;D;Ant;g;840393.5
EL72491;D;Ant;g;839931.5
EL75661;V;Ant;g;839867.0
EL75387;V;Ant;d;839772.5
EL75664;V;Ant;d;839405.0
EL75515;V;Ant;g;838763.5
EL72496;D;Ant;g;838487.5
EL75580;V;Ant;g;838266.0
ACC0041;V;Post;g;837584.5
ACC0032;V;Ant;g;837571.5
EL72687;D;Ant;d;837404.0
EL72590;D;Ant;d;836599.5
EL72745;D;Post;d;835204.5
ACC0045;V;Post;d;834927.0
EL72676;D;Post;d;834814.0
EL72484;D;Ant;g;834690.0
EL72583;V;Ant;d;834380.5
EL72436;D;Ant;d;834195.5
ACC0025;D;Ant;d;833216.0
EL72669;V;Post;g;832948.5
ACC0015;D;Post;g;832931.5
EL72702;D;Ant;g;832795.5
ACC0015;V;Post;g;832281.5
EL72669;D;Post;g;832221.5
EL72618;D;Post;g;831977.5
EL75512;V;Post;g;831094.0
EL72701;V;Ant;g;830905.5
EL72688;V;Ant;g;830606.5
EL43179;D;Ant;g;830488.5
EL72682;V;Post;d;829987.0
EL72682;D;Post;d;829571.5
EL75375;D;Ant;d;829495.0
EL75563;V;Post;d;828587.0
EL72520;V;Post;g;828272.0
EL75707;V;Ant;d;827865.0
EL72467;D;Ant;g;827811.5
EL72618;V;Post;g;827153.0
EL72517;D;Ant;g;826884.5
EL43199;V;Ant;g;826549.5
EL72520;D;Post;g;826230.0
EL72689;D;Ant;g;826144.5
EL72745;V;Post;d;825681.0
EL72660;D;Post;g;825604.0
EL75684;V;Ant;d;825140.5
EL72660;V;Post;g;824807.5
ACC0061;V;Post;g;824406.0
EL72480;D;Ant;g;823708.5
EL43233;D;Ant;g;823380.0
EL75594;D;Post;g;823163.0
ACC0061;D;Post;g;823109.0
EL75512;D;Post;g;822651.5
ACC0048;V;Ant;d;822630.5
ACC0071;V;Ant;g;822608.0
EL75583;V;Post;d;822396.0
EL72609;V;Ant;g;822047.0
EL75560;D;Ant;g;821994.5
EL72484;V;Ant;g;821958.5
ACC0067;D;Post;d;821454.5
EL72601;V;Ant;d;821306.0
EL72715;D;Ant;d;820552.0
ACC0019;D;Post;d;820297.5
EL75663;V;Ant;d;820245.5
EL75563;D;Post;d;820014.5
EL72661;V;Ant;g;819828.0
EL43183;D;Ant;g;819146.0
ACC0067;V;Post;d;819092.5
EL72608;V;Post;g;818641.5
EL72585;V;Ant;g;818140.5
EL75538;V;Ant;d;818046.0
EL72746;D;Ant;d;817749.0
ACC0019;V;Post;d;817140.5
EL75583;V;Ant;d;817063.5
EL72696;D;Ant;d;815381.0
EL72608;D;Post;g;815318.0
EL72593;D;Ant;d;815003.0
EL72436;V;Ant;d;814832.0
EL75666;D;Ant;d;814606.5
EL75669;D;Ant;d;814580.5
EL72531;D;Ant;g;814058.0
EL75583;D;Post;d;813071.5
EL72589;D;Ant;g;812753.5
EL75737;D;Post;g;812537.5
EL72490;D;Ant;d;812366.5
EL75737;V;Post;g;811819.0
EL75309;D;Ant;d;811807.0
EL75562;V;Ant;d;810838.5
EL72706;V;Post;g;810704.5
EL75584;D;Post;g;810591.5
EL43206;V;Ant;d;809722.0
EL72654;V;Ant;d;809681.5
EL75584;V;Post;g;808983.5
EL72706;D;Post;g;808011.5
EL72699;D;Ant;g;807569.0
EL75317;D;Post;d;80673.5
EL75578;D;Ant;g;806467.5
EL43196;V;Ant;g;805837.0
EL75529;V;Ant;d;805031.5
EL72420;D;Post;d;804963.0
EL72597;V;Ant;d;804377.0
EL72449;D;Post;g;804360.0
EL75584;V;Ant;g;803969.5
EL72639;V;Ant;g;803850.0
EL72459;V;Ant;d;803818.5
EL75524;V;Ant;g;803814.5
ACC0028;D;Ant;d;803304.5
EL75527;D;Ant;d;802983.0
ACC0078;D;Post;g;801934.5
EL75565;V;Ant;g;801458.5
EL72416;D;Post;g;800968.0
EL72603;V;Ant;g;800917.0
EL72523;V;Ant;g;800916.0
EL72420;V;Post;d;800763.5
EL75594;V;Post;g;799831.5
EL75320;D;Ant;d;799596.0
EL75673;D;Ant;d;799565.5
ACC0398;D;Ant;d;799358.5
EL75543;V;Ant;g;798582.0
EL43198;D;Post;d;798448.0
EL72449;V;Post;g;797895.5
EL72437;D;Post;g;797790.5
EL43198;V;Post;d;797749.0
EL75611;D;Ant;g;797484.0
EL72416;V;Post;g;797311.0
ACC0068;D;Post;g;796606.0
EL72659;D;Ant;d;796313.5
ACC0034;D;Ant;g;796236.0
EL72587;D;Ant;d;796072.0
EL72644;D;Ant;d;795376.0
EL75662;D;Ant;d;795299.0
EL43166;D;Ant;d;795080.5
EL75516;V;Ant;d;794858.5
EL72482;D;Ant;g;792839.0
ACC0078;V;Post;g;792733.0
ACC0068;V;Post;g;792727.0
EL43190;D;Ant;d;792516.0
EL75543;D;Post;g;792194.5
EL75538;V;Post;d;792193.0
EL72437;V;Post;g;791988.5
EL72489;D;Ant;d;791987.5
EL75526;V;Ant;d;791687.5
EL72749;D;Ant;g;790536.0
ACC0186;D;Ant;d;790533.0
ACC0039;D;Post;g;789830.0
EL75538;D;Post;d;789792.0
EL75543;V;Post;g;789565.5
EL75539;V;Ant;g;789327.0
EL75559;V;Ant;g;788972.0
EL72667;D;Post;d;788752.0
EL72518;V;Ant;g;788279.0
ACC0399;D;Ant;g;787535.5
EL43222;D;Ant;g;786984.0
ACC0018;D;Post;g;786925.0
EL75375;V;Ant;d;786755.0
ACC0039;V;Post;g;786739.5
ACC0018;V;Post;g;785177.5
EL72656;V;Ant;g;785112.0
EL72702;V;Ant;g;785084.5
EL72667;V;Post;d;785004.5
EL72425;D;Post;d;785000.5
EL72498;D;Ant;g;783607.0
EL75532;V;Ant;g;783487.5
EL72743;V;Ant;d;783045.5
EL72519;D;Post;g;782907.0
EL72419;D;Post;g;782650.5
EL72519;V;Post;g;782647.0
EL72594;V;Ant;d;782335.0
EL72662;D;Ant;g;781840.5
EL75567;D;Ant;g;781578.5
EL72425;V;Post;d;781395.5
EL72591;V;Ant;d;781307.5
EL43210;V;Ant;d;781075.5
EL72723;D;Ant;g;780214.5
EL72412;V;Ant;d;779519.0
EL72724;D;Ant;g;778954.5
EL72681;D;Post;d;778889.0
EL43217;V;Ant;g;778888.5
EL72588;D;Ant;d;778561.0
EL75713;V;Ant;d;778532.0
EL43216;D;Post;d;778283.0
EL72744;V;Post;g;778130.5
ACC0056;D;Post;d;778055.5
EL43182;V;Ant;d;777849.0
EL75346;D;Ant;g;777602.5
EL72611;D;Post;g;777479.5
EL72681;V;Post;d;777149.5
ACC0077;D;Post;d;777090.0
EL75661;V;Post;g;776772.5
EL72524;D;Ant;d;776760.5
EL72611;V;Post;g;776442.5
