 ;Label;lumMean;lumSD;area;maxPower;maxFreq;propPower;sumPower;meanPower;powerSD;Mean;SD;File
1; _1595-2258;68.816;43.16;1319079.0;10.507;64.0;0.09;116.142;6.832;2.2;68.816;43.16;ACC0175V
1; _1486-2284;47.589;38.961;1297627.0;10.497;64.0;0.087;121.348;7.138;2.134;47.589;38.961;ACC0176D
1; _1559-2596;66.046;38.503;1292029.0;9.679;45.255;0.085;113.587;6.682;1.804;66.046;38.503;ACC0176V
1; _1340-2331;42.593;46.366;1097227.0;11.262;128.0;0.09;124.515;7.324;2.816;42.593;46.366;ACC0177D
1; _1565-2355;52.505;32.241;1090887.0;9.626;45.255;0.085;113.775;6.693;2.027;52.505;32.241;ACC0177V
1; _1285-2358;60.594;45.32;1354556.0;10.871;64.0;0.091;119.168;7.01;2.415;60.594;45.32;ACC0178D
1; _1526-2265;74.666;49.064;1355568.0;11.222;64.0;0.095;118.53;6.972;2.374;74.666;49.064;ACC0178V
1; _1300-2384;67.594;44.389;1378660.0;11.588;64.0;0.1;115.872;6.816;2.549;67.594;44.389;ACC0179D
1; _1642-2286;79.31;48.946;1388225.0;11.889;64.0;0.103;115.404;6.788;2.519;79.31;48.946;ACC0179V
1; _1473-2324;55.634;28.378;1689812.0;9.023;181.019;0.083;109.22;6.425;2.067;55.634;28.378;ACC0180D
1; _1472-2404;76.998;21.707;1697255.0;7.84;181.019;0.082;95.559;5.621;1.491;76.998;21.707;ACC0180V
1; _1386-2380;64.851;33.939;1886091.0;9.008;64.0;0.083;108.183;6.364;2.161;64.851;33.939;ACC0181D
1; _1437-2434;60.653;21.656;1915906.0;8.999;181.019;0.089;101.664;5.98;1.814;60.653;21.656;ACC0181V
1; _1462-2566;75.765;33.807;2216441.0;8.181;64.0;0.08;102.838;6.049;1.86;75.765;33.807;ACC0182D
1; _1423-2556;63.125;27.53;2232638.0;8.442;181.019;0.082;102.746;6.044;1.669;63.125;27.53;ACC0182V
1; _1266-2571;71.828;40.926;2142607.0;9.516;90.51;0.084;113.098;6.653;2.018;71.828;40.926;ACC0183D
1; _1318-2594;73.615;38.223;2163874.0;8.92;90.51;0.082;109.011;6.412;1.736;73.615;38.223;ACC0183V
1; _1557-2438;68.639;53.527;1431628.0;11.669;45.255;0.093;125.174;7.363;2.633;68.639;53.527;ACC0184D
1; _1527-2471;95.776;45.91;1441318.0;8.795;45.255;0.081;108.411;6.377;1.63;95.776;45.91;ACC0184V
1; _1339-2447;61.448;43.478;1957510.0;10.249;64.0;0.087;118.391;6.964;2.183;61.448;43.478;ACC0185D
1; _1526-2499;86.75;46.747;1939788.0;9.119;64.0;0.081;112.51;6.618;1.768;86.75;46.747;ACC0185V
1; _1243-2587;66.803;41.161;2312255.0;10.09;64.0;0.089;113.746;6.691;2.197;66.803;41.161;ACC0186D
1; _1362-2535;85.735;46.533;2325971.0;9.119;64.0;0.082;110.889;6.523;1.77;85.735;46.533;ACC0186V
1; _1489-2574;79.327;43.79;2141853.0;10.076;64.0;0.09;111.39;6.552;2.028;79.327;43.79;ACC0187D
1; _1431-2369;95.786;45.505;2129117.0;9.171;64.0;0.085;107.518;6.325;1.719;95.786;45.505;ACC0187V
1; _1452-2395;57.861;23.666;1504424.0;8.627;181.019;0.082;104.667;6.157;1.734;57.861;23.666;ACC0188D
1; _1536-2461;72.466;32.396;1512174.0;8.504;128.0;0.081;105.451;6.203;1.605;72.466;32.396;ACC0188V
1; _1316-2347;53.463;23.019;1356569.0;9.106;181.019;0.085;106.755;6.28;1.833;53.463;23.019;ACC0189D
1; _1642-2337;81.681;34.352;1385813.0;7.984;128.0;0.077;103.774;6.104;1.401;81.681;34.352;ACC0189V
1; _1340-2429;66.315;27.801;1600428.0;8.352;181.019;0.079;105.095;6.182;1.596;66.315;27.801;ACC0190D
1; _1557-2335;86.196;37.428;1622864.0;8.012;64.0;0.077;103.944;6.114;1.458;86.196;37.428;ACC0190V
1; _1348-2513;58.843;24.98;1935975.0;8.618;181.019;0.082;105.631;6.214;1.816;58.843;24.98;ACC0191D
1; _1468-2398;76.773;37.302;1953168.0;8.392;64.0;0.078;107.154;6.303;1.625;76.773;37.302;ACC0191V
1; _1389-2300;72.175;27.297;1733121.0;9.203;181.019;0.091;100.628;5.919;1.958;72.175;27.297;ACC0192D
