"Tundra";"Tropical & Subtropical Moist Broadleaf Forests";"Mediterranean Forests, Woodlands & Scrub";"Deserts & Xeric Shrublands";"Temperate Grasslands, Savannas & Shrublands";"Boreal Forests/Taiga";"Temperate Conifer Forests";"Temperate Broadleaf & Mixed Forests";"Montane Grasslands & Shrublands";"Mangroves";"Flooded Grasslands & Savannas";"Tropical & Subtropical Grasslands, Savannas & Shrublands";"Tropical & Subtropical Dry Broadleaf Forests";"Tropical & Subtropical Coniferous Forests";"N/A"
"Ornithoptera_meridionalis";0;95.829;0;0;0;0;0;0;0.028;4.143;0;0;0;0;0
"Ornithoptera_paradisea";0;99.978;0;0;0;0;0;0;0;0.022;0;0;0;0;0
"Troides_hypolitus";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Troides_magellanus";0;99.13;0;0;0;0;0;0;0;0;0;0;0;0.87;0
"Troides_andromache";0;99.846;0;0;0;0;0;0;0.154;0;0;0;0;0;0
"Troides_cuneifera";0;99.391;0;0;0;0;0;0;0;0;0;0;0;0.609;0
"Troides_amphrysus";0;99.273;0;0;0;0;0;0;0.117;0.004;0;0;0;0.606;0
"Troides_miranda";0;96.296;0;0;0;0;0;0;0.171;2.865;0;0;0;0.668;0
"Troides_prattorum";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Troides_vandepolli";0;97.615;0;0;0;0;0;0;0;0;0;0;0;2.385;0
"Troides_helena";0;81.869;0;0.242;0;0;0.037;0.782;0.025;2.174;0;0.664;13.895;0.312;0
"Troides_oblongomaculatus";0;92.321;0;0;0;0;0;0;0.024;3.654;0;4;0;0;0
"Troides_aeacus";0;70.171;0;0.137;0;0;1.235;12.75;0.078;1.183;0;0.648;12.804;0.991;0.002
"Troides_minos";0;60.723;0;10.928;0;0;0;0;0;0;0;0;28.348;0;0
"Troides_criton";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Troides_rhadamantus";0;97.591;0;0;0;0;0;0;0;0;0;0;0;2.409;0
"Troides_riedeli";0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
"Troides_haliphron";0;47.424;0;0;0;0;0;0;0;0;0;0;52.576;0;0
"Troides_staudingeri";0;84.397;0;0;0;0;0;0;0;0;0;0;15.603;0;0
"Meandrusa_payeni";0;78.243;0;0;0;0;0.982;2.524;5.208;1.454;0;0.356;10.073;0.408;0.752
"Papilio_clytia";0;65.075;0;6.31;0;0;0.558;1.135;0.834;1.284;0;0.537;22.969;1.037;0.261
"Papilio_paradoxa";0;85.818;0;0;0;0;2.969;4.523;4.131;1.417;0;0.023;0;0.798;0.32
"Papilio_agestor";0;85.564;0;0;0;0;3.194;4.093;2.343;0;0;0.271;1.528;2.029;0.978
"Papilio_epycides";0;81.502;0;0;0;0;5.22;9.022;1.361;0.06;0;0.146;2.075;0.436;0.178
"Papilio_laglaizei";0;93.711;0;0;0;0;0;0;1.286;0.881;0;4.122;0;0;0
"Papilio_troilus";0;0;0;3.036;39.314;0;4.817;50.035;0;0.144;0.571;1.861;0;0.221;0
"Papilio_palamedes";0;1.756;0;11.307;40.155;0;7.885;29.446;0;0.221;1.315;5.983;0;1.931;0
"Papilio_pilumnus";0;14.028;0;34.777;0;0;0;0;0;0.644;0;1.101;16.941;32.51;0
"Papilio_multicaudata";0;2.358;1.396;39.43;20.569;0;21.924;0.433;0;0.019;0;0;4.324;9.548;0
"Papilio_eurymedon";0;0;5.35;34.074;13.193;0;47.292;0;0;0;0;0;0;0;0.09
"Papilio_rutulus";0;0;5.433;46.139;8.27;0;40.114;0;0;0;0;0;0;0.033;0.012
"Papilio_glaucus";9.808;0.071;1.217;15.179;33.683;5.331;12.847;20.369;0;0.032;0.212;0.825;0.067;0.056;0.302
"Papilio_scamander";0;51.11;0;0;0;0;0;0;0.137;0.183;6.11;40.617;1.842;0;0
"Papilio_garamas";0;13.919;0;26.063;0;0;0;0;0;0.816;0;0.997;22.275;35.93;0
"Papilio_victorinus";0;20.696;0.667;33.772;0;0;0;0;0;1.412;0;1.426;18.463;23.563;0
"Papilio_homerus";0;96.251;0;0;0;0;0;0;0;0.978;0;0;2.771;0;0
"Papilio_euterpinus";0;69.556;0;0;0;0;0;0;21.837;0.124;0;2.151;6.331;0;0
"Papilio_hyppason";0;59.631;0;2.352;0;0;0;0;3.279;0.325;1.354;21.469;11.591;0;0
"Papilio_andraemon";0;22.493;0;2.402;0;0;0;0;0;8.629;5.008;0;54.699;6.769;0
"Papilio_paeon";0;75.639;0;5.021;0;0;0;0;10.924;0.451;0.126;2.214;5.626;0;0
"Papilio_caiguanabus";0;15.535;0;2.755;0;0;0;0;0;6.623;5.561;0;63.752;5.774;0
"Papilio_thoas";0;46.766;0.717;5.545;5.912;0;0;0.431;4.496;0.53;1.289;20.899;10.545;2.873;0
"Papilio_homothoas";0;47.039;0;11.376;0;0;0;0;1.527;1.751;0.501;22.11;15.696;0;0
"Papilio_cresphontes";0;0.447;1.262;20.192;31.443;0;5.087;33.522;0;0.234;0.541;1.669;2.686;2.916;0
"Papilio_androgeus";0;50.43;0.004;8.505;1.895;0;0.614;0.338;3.159;0.606;1.407;21.091;8.67;3.28;0
"Papilio_thersites";0;87.857;0;0;0;0;0;0;0;3.751;0;0;8.392;0;0
"Papilio_aristodemus";0;25.295;0;1.493;0;0;0;0;0;6.862;4.012;0;51.55;10.789;0
"Papilio_astyalus";0;63.5;0;0.987;0.011;0;0;0;0.032;0.413;1.673;28.238;5.145;0;0
"Papilio_himeros";0;48.628;0;0;0;0;0;0;0;0.908;0;19.822;30.642;0;0
"Papilio_torquatus";0;55.117;0;4.824;0.198;0;0;0.058;2.989;0.582;1.38;22.106;10.043;2.704;0
"Papilio_hectorides";0;38.398;0;0;2.457;0;0;0;0;0.115;2.023;57.007;0;0;0
"Papilio_oxynius";0;24.81;0;4.416;0;0;0;0;0;4.21;1.505;0;58.721;6.339;0
"Papilio_pelaus";0;56.272;0;2.61;0;0;0;0;0;1.956;0.882;0;22.913;15.368;0
"Papilio_isidorus";0;81.245;0;2.555;0;0;0;0;8.014;0.613;0.125;2.665;4.784;0;0
