Species;AR;FA;PA;SA;AN;MA;LA;RU;AP;ZY;RO;HE
Papilio_epycides;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_erithonioides;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_erostratus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_esperanza;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_eurymedon;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_euterpinus;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_forbesi;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_fuscus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_gambrisius1;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_gambrisius2;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_garamas;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_garleppi;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_gigon;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_glaucus;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_grosesmithi;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_hectorides;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_helenus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_heringi;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_hermeli;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_himeros;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_hippocrates;0;0;0;0;0;0;0;0;1;0;0;0
Papilio_hipponous;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_homerus;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_homothoas;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_hopponis;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_hospiton;0;0;0;0;0;0;0;0;1;0;0;0
Papilio_humbloti;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_hyppason;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_indra;0;0;0;0;0;0;0;0;1;0;0;0
Papilio_isidorus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_iswara;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_karna;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_krishna;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_laglaizei;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_lamarchei;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_liomedon;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_lormieri;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_lorquinianus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_maackii;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_machaon;0;0;0;0;0;0;0;0;1;0;0;0
Papilio_machaonides;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_macilentus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_mahadeva;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_maraho;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_melonius;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_memnon;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_menatius;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_meriones;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_montrouzieri;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_morondavana;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_multicaudata;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_nephelus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_neumoegeni;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_neyi;0;0;0;0;0;0;1;0;0;0;0;0
Papilio_nireus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_nobilis;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_noblei;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_oenomaus;0;0;0;0;0;0;0;1;0;0;0;0
Papilio_oregonius;0;0;0;0;0;0;0;0;1;0;0;0
Papilio_oribazus;0;0;0;0;0;0;0;1;0;0;0;0
