id;view;wing;side;x;y;minor_axis;major_axis;distance_contours;distance_CU2;A_wing
ACC0013;V;Ant;g;252.42276;113.4229736;13.1961956;16.15404892;41.92372723;;26333
ACC0013;V;Ant;g;215.1061401;107.1522064;13.92720032;21.25032806;31.08012459;;26333
ACC0013;V;Ant;g;199.9623413;87.70519257;12.41685295;14.33356762;28.46610287;;26333
ACC0013;V;Ant;g;184.6841583;68.97122955;14.49390221;17.20689583;28.08233848;;26333
ACC0013;V;Ant;g;204.7707062;55.77190018;12.58952904;21.36678886;14.4066707;;26333
ACC0013;V;Post;g;268.8132629;406.9514465;22.47797394;31.81579018;13.36589056;379.3930779;27414
ACC0013;V;Post;g;306.8771057;407.4448547;21.89601898;33.12303925;18.98088441;364.2471332;27414
ACC0013;V;Post;g;248.363327;371.0431519;24.91007423;32.13090515;15.08148097;358.2557908;27414
ACC0013;V;Post;g;341.7736816;361.0664978;14.88053322;20.63111496;11.22447636;308.7042801;27414
ACC0013;V;Post;g;248.6551208;328.446167;17.55425644;20.8867321;17.25820722;322.9123251;27414
ACC0013;V;Post;g;353.0244141;357.027832;9.492225647;13.40386295;7.741231026;301.4355356;27414
ACC0013;V;Post;g;366.9848938;338.546936;9.726705551;15.11725235;9.169062443;279.8223041;27414
ACC0013;V;Post;g;310.9387512;293.401886;24.31653976;32.63557434;52.28957824;259.4219644;27414
ACC0013;V;Post;g;264.3238525;280.0703125;21.0486393;27.92743874;15.12795918;275.1413583;27414
ACC0013;V;Post;g;360.0950317;270.6350708;27.81962395;37.19595718;50.37208227;217.4528302;27414
ACC0013;V;Post;g;319.5380554;264.2010803;12.86724854;18.4045105;29.57403552;229.9284042;27414
ACC0013;V;Post;g;297.6559448;249.3995667;9.201457977;15.47877789;7.39956665;230.3276181;27414
ACC0013;V;Post;g;339.796051;235.4086304;20.16218567;29.91817093;13.69555823;194.8000569;27414
ACC0014;D;Ant;d;580.7024536;188.0499573;21.26142883;28.86928558;17.95004272;;32354
ACC0014;D;Ant;d;522.7739258;174.9873657;25.74003983;38.45363617;23.72592581;;32354
ACC0014;D;Ant;d;610.1853027;159.9183197;17.46960258;23.41193581;27.2789991;;32354
ACC0014;D;Ant;d;475.0535889;154.3236389;20.63269997;23.27666092;24.0762493;;32354
ACC0014;D;Ant;d;553.0820313;152.0502777;18.73840714;28.04935074;52.90900955;;32354
ACC0014;D;Ant;d;631.9321899;132.1685333;14.33396626;20.75946045;30.37980226;;32354
ACC0014;D;Ant;d;582.8060303;131.6779327;17.25391197;29.10779572;65.27549644;;32354
ACC0014;D;Ant;d;518.0835571;122.7807388;21.13183975;43.88420486;29.28090613;;32354
ACC0014;D;Ant;d;605.3619385;108.7783813;18.00574303;32.4969101;64.17636555;;32354
ACC0014;D;Ant;d;648.9287109;106.5703583;14.24435902;21.34382248;30.53460244;;32354
ACC0014;D;Ant;d;613.7628784;85.05394745;14.82484531;22.03530502;51.43122681;;32354
ACC0014;D;Ant;d;656.026001;83.27371979;12.46939659;16.43445969;34.81556136;;32354
ACC0014;D;Ant;d;563.2255249;92.19760895;23.48996544;42.27390671;31.0980587;;32354
ACC0014;D;Ant;d;672.2431641;66.52481842;10.76813126;12.9914341;29.86254597;;32354
ACC0014;D;Ant;d;650.9433594;51.59809494;8.976856232;10.86848736;32.58123021;;32354
ACC0014;D;Ant;d;686.3570557;48.71307755;13.16991806;14.25809956;28.70980076;;32354
ACC0014;D;Ant;d;664.7996826;33.60036469;13.46020794;19.797369;17.61852234;;32354
ACC0014;V;Ant;d;590.930481;190.8681641;22.76550674;30.32406616;18.53315683;;28684
ACC0014;V;Ant;d;535.1635132;179.7821808;27.66770554;39.08119965;16.06996858;;28684
ACC0014;V;Ant;d;619.6118774;162.8976593;19.97549057;23.4654541;26.51457093;;28684
ACC0014;V;Ant;d;487.456543;161.6372528;20.37239075;23.1395092;21.55066242;;28684
ACC0014;V;Ant;d;563.8136597;155.9067841;18.22748947;28.54187584;50.09225361;;28684
ACC0014;V;Ant;d;592.2081909;135.9155121;18.01077461;30.40230942;64.14381776;;28684
ACC0014;V;Ant;d;639.68927;134.8439941;17.73439598;22.77064896;28.20281843;;28684
ACC0014;V;Ant;d;612.0938721;112.5781555;17.958992;32.29482651;62.26919539;;28684
ACC0014;V;Ant;d;655.5175781;109.4274597;16.07889748;20.58282852;28.50661114;;28684
ACC0014;V;Ant;d;572.7345581;99.21560669;24.51132393;42.43873596;31.80181457;;28684
ACC0014;V;Ant;d;663.1973267;87.60523224;13.55584908;18.96990585;31.95941709;;28684
ACC0014;V;Ant;d;677.6529541;70.6661377;12.08075809;13.63839245;28.05863927;;28684
ACC0014;V;Ant;d;655.6115112;56.3515892;10.12818909;12.95513344;30.32244865;;28684
ACC0014;V;Ant;d;689.2293701;53.75043488;13.94094563;14.327631;23.86944313;;28684
ACC0014;V;Ant;d;667.864502;38.61584854;14.73292637;22.32922363;15.11811509;;28684
ACC0015;D;Ant;g;280.7597961;196.2636719;24.30692673;26.9536438;20.73632813;;33221
ACC0015;D;Ant;g;338.6342468;193.6413574;23.8733654;35.87290573;24.35864258;;33221
ACC0015;D;Ant;g;384.4682922;175.1214752;15.16596222;20.31644821;25.91933751;;33221
ACC0015;D;Ant;g;254.654541;166.6182251;17.87750626;21.13657951;33.47849533;;33221
ACC0015;D;Ant;g;307.4033508;163.794342;16.46712112;27.46656799;54.20565796;;33221
ACC0015;D;Ant;g;281.2008667;140.477356;12.83397293;22.77166939;67.94948562;;33221
ACC0015;D;Ant;g;236.0451965;136.2731628;12.70427895;19.6229744;32.84614533;;33221
ACC0015;D;Ant;g;263.1498718;115.394516;13.70918274;27.37913513;64.31334253;;33221
ACC0015;D;Ant;g;223.4273529;108.9403534;13.93631554;16.91015816;33.80810474;;33221
ACC0015;D;Ant;g;304.7754822;105.7094574;17.1263237;36.39327621;31.93099444;;33221
ACC0015;D;Ant;g;255.1673737;92.47386169;7.49618721;12.88410664;49.94733519;;33221
ACC0015;D;Ant;g;218.2723236;86.93811035;10.16625595;16.7542572;38.05606825;;33221
ACC0015;D;Ant;g;202.0739288;67.59378052;10.58547592;13.08916473;34.70676121;;33221
ACC0015;D;Ant;g;215.8244476;52.50282669;8.371021271;10.1963501;33.10543695;;33221
